2397, 2408, 5, 9, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
3707, 3719, 5, 12, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
4446, 4457, 8, 17, 66268, 5, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
4446, 4457, 8, 17, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
5756, 5768, 8, 20, 66268, 5, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
5756, 5768, 8, 20, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
6495, 6506, 11, 25, 66054, 8, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
6495, 6506, 11, 25, 66268, 5, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
6495, 6506, 11, 25, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
7805, 7817, 11, 28, 66054, 8, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
7805, 7817, 11, 28, 66268, 5, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
7805, 7817, 11, 28, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
8544, 8555, 14, 33, 65840, 11, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
8544, 8555, 14, 33, 66054, 8, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
8544, 8555, 14, 33, 66268, 5, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
8544, 8555, 14, 33, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
9854, 9866, 14, 36, 65840, 11, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
9854, 9866, 14, 36, 66054, 8, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
9854, 9866, 14, 36, 66268, 5, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
9854, 9866, 14, 36, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
10593, 10604, 17, 41, 65626, 14, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
10593, 10604, 17, 41, 65840, 11, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
10593, 10604, 17, 41, 66054, 8, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
10593, 10604, 17, 41, 66268, 5, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
10593, 10604, 17, 41, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
11903, 11915, 17, 44, 65626, 14, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
11903, 11915, 17, 44, 65840, 11, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
11903, 11915, 17, 44, 66054, 8, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
11903, 11915, 17, 44, 66268, 5, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
11903, 11915, 17, 44, 66482, 2, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
12642, 12653, 20, 49, 65412, 17, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
12642, 12653, 20, 49, 65626, 14, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
12642, 12653, 20, 49, 65840, 11, 234, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413, 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
